Pownal, VT: 42.7909635 -73.2139817154
Rapid City, SD: 44.0811755 -103.228006
Cordoba, Argentina: -32.0967361 -63.7940923
Copenhagen, Denmark: 55.6867243 12.5700724
Osnabruck, West Germany: 52.2668373 8.0497412
Frankfurt, West Germany: 50.1106529 8.6820934
New Brunswick, NJ: 40.4862174 -74.4518173
Charles Town, WV: 39.2891836 -77.859581
Antwerp, Belgium: 51.2211097 4.3997081
Ft. Worth, TX: 32.753177 -97.3327459
Gothenburg, Sweden: 57.7072326 11.9670171
Athens, Greece: 37.9841493 23.7279843
Amneville, France: 49.2576935 6.1364681
Decatur, IL: 39.8628075 -88.8938718177
Essen, West Germany: 51.4572062 7.0114963
Bangalore, India: 12.9791198 77.5912997
Lillestrom, Norway: 59.9567247 11.0493564
Stuttgart, Germany: 48.7784485 9.1800132
Brno, Czech Republic: 49.1922443 16.6113382
Caracas, Venezuela: 10.506098 -66.9146017
Belgrade, Serbia: 44.8178787 20.4568089
Jamestown, NY: 42.0970023 -79.2353259
Spokane, WA: 47.6588603 -117.4247134
West Palm Beach, FL: 26.7153425 -80.0533746
Fukuoka, Japan: 33.6251241 130.6180016
Charlottesville, VA: 38.029306 -78.4766781
Bergen, Norway: 60.3943457 5.3258853
Jyvaskyla, Finland: 62.2393002 25.745951
San Antonio, TX: 29.4246002 -98.4951405
Rouen, France: 49.4404591 1.0939658
San Quentin, CA: 37.9413133 -122.4849739
Belfast, Northern Ireland: 54.5969467 -5.9301554
Lund, Sweden: 55.7029296 13.1929449
Rockingham, NC: 36.3926798 -79.744144
Charleston, WV: 38.3498221 -81.6326301
Yonkers, NY: 40.9312099 -73.8987469
Riga, Latvia: 56.9493977 24.1051846
Salzburg, Austria: 47.8001977 13.0410592
Huntsville, AL: 34.677972 -86.4554615635
Elmhurst, NY: 40.7365804 -73.8783932
University Park, PA: 40.8005307 -77.8624447
St. Petersburg, FL: 27.7703796 -82.6695085
Mobile, AL: 30.6943566 -88.0430541
Adelaide, Australia: -34.9274284 138.599899
Katowice, Poland: 50.2598987 19.0215852
Anaheim, CA: 33.8347516 -117.911732
Sydney, Canada: 46.1654766 -60.1735635936
Bremen, Germany: 53.0758196 8.8071646
Memphis, TN: 35.1490215 -90.0516285
Hockenheim, Germany: 49.3203919 8.5499278
Minot, ND: 48.2325095 -101.2962732
Pasadena, CA: 34.1476452 -118.1444779
Jackson, MI: 32.4104385 -90.1620648883
Burlington, VT: 44.4723989 -73.2114941
Vigo, Spain: 42.2376602 -8.7247205
Udine, Italy: 46.0646984 13.2357491
Aarhus, Denmark: 56.1496278 10.2134046
Hasselt, Belgium: 50.9303735 5.3378043
Regensburg, West Germany: 49.0195333 12.0974869
Milton Keynes, England: 52.0429797 -0.7589607
Centurion, South Africa: -25.8363889 28.1802778
Jackson, MS: 32.4104385 -90.1620648883
Brussels, Belgium: 50.8465565 4.351697
Sapporo, Japan: 43.049876 141.334297
Porto Alegre, Brazil: -30.0282658 -51.228427
Charlevoix, MI: 45.202075 -84.9676387
St. Gallen, Switzerland: 47.4250593 9.3765878
Kiel, Germany: 54.3216753 10.1371858
San Bernardino, CA: 34.1083449 -117.2897652
Nickelsdorf, Austria: 47.9403019 17.0661763
Virginia Beach, VA: 36.7183708 -76.2466798
La Crosse, WI: 43.8804365 -91.2548411335
Delhi, India: 28.6572914 77.2272603
Modena, Italy: 44.6458885 10.9255707
Padova, Italy: 45.4077172 11.8734455
Quebec City, Canada: 46.8257374 -71.2349114
Indianapolis, IN: 39.7683331 -86.1583501
Newark, DE: 39.6852191 -75.7508289
Washington, DC: 38.8949549 -77.0366456
Heidelberg, West Germany: 49.4093608 8.6948125
St. Petersburg, Russia: 59.9393657 30.3153628
Biloxi, MS: 30.3960318 -88.8853645
San Francisco, CA: 37.7792768 -122.4192704
Hampton, VA: 37.0300969 -76.3452057
Philadelphia, PA: 39.952335 -75.163789
Pensacola, FL: 30.421309 -87.2169149
Frankfurt, Germany: 50.1106529 8.6820934
Biloxi, MI: 30.3960318 -88.8853645
Louisville, KY: 38.2542376 -85.759407
Dusseldorf, Germany: 51.2254018 6.7763137
Hartford, CT: 41.7634935 -72.6830523
Guadalajara, Mexico: 20.676143 -103.3469982
Cincinnati, OH: 39.1014537 -84.5124602
Tyler, TX: 32.3512601 -95.3010624
St. Paul, MN: 44.9504037 -93.1015026
Portland, OR: 45.5202471 -122.6741949
Sparta, KY: 38.677009 -84.9068929
Marseilles, France: 47.0706778 3.0029271
Reading, England: 51.4580216 -0.9673727
Glendale, AZ: 33.558997 -112.404682964
Raleigh, NC: 35.7804015 -78.6390779
Port Jervis, NY: 41.3750937 -74.692663
Tallinn, Estonia: 59.4372155 24.7453688
Clermont-Ferrand, France: 45.7774551 3.0819427
Oslo, Norway: 59.9132694 10.7391112
Glenn Falls, NY: 43.1238837 -79.0582102
Albany, NY: 42.6511674 -73.754968
Nimes, France: 43.8374249 4.3600687
Rotterdam, Netherlands: 51.92779805 4.48862326926
South Shetland Islands, Antarctica: -62.607919 -60.6596198961
Battle Creek, MI: 42.3192548 -85.1824269
Essex Junction, VT: 44.4906054 -73.1109605
Oakland, CA: 37.8044557 -122.2713563
Los Angeles, CA: 34.053717 -118.2427266
San Jose, CA: 37.3361905 -121.8905833
Grand Rapids, MI: 42.9632405 -85.6678639
Columbia, MD: 39.2156213 -76.8582049
Barcelona, Spain: 41.3825596 2.1771353
Toulon, France: 43.1257311 5.9304919
Wellington, New Zealand: -41.2887639 174.7772239
Akron, OH: 41.0830643 -81.5184854
St. Louis, MO: 38.6272733 -90.1978889
Greenville, SC: 34.851354 -82.3984882
Atlantic City, NJ: 39.3642852 -74.4229351
Berkeley, CA: 37.8708393 -122.2728639
Chicago, IL: 41.8755546 -87.6244212
Edinburgh, Scotland: 55.9483544 -3.1931187
Arnhem, Netherlands: 52.0056642 5.87623450776
Jacksonville, FL: 30.3321838 -81.655651
Munich, Germany: 48.1372897 11.5754716
Bratislava, Slovakia: 48.1359085 17.1597440625
Grand Forks, ND: 47.9078244 -97.0592028
Yokohama, Japan: 35.444991 139.636768
Tulsa, OK: 36.1556805 -95.9929113
Tampa, FL: 27.9477595 -82.458444
Scotia, NY: 42.8264652 -73.9642915
Perth, Australia: -31.9527121 115.8604796
Bellevue, WA: 47.6144219 -122.1923372
Horsens, Denmark: 55.8611696 9.8444774
Sioux Falls, SD: 43.5499749 -96.700327
Torhout, Belgium: 51.0585915 3.09130720455
Saugerties, NY: 42.0775906 -73.9529126
Johannesburg, South Africa: -26.205 28.0497222
Waco, TX: 31.549333 -97.1466695
Carbondale, IL: 37.7274692 -89.216655
Singapore, Singapore: 1.2904527 103.852038
Osaka, Japan: 34.6852955 135.5145684
Bridgeport, CT: 41.1670412 -73.2048348
Valley Stream, NY: 40.6642699 -73.7084645
Mansfield, MA: 42.0334326 -71.2189405
Gold Coast, Australia: -28.0023731 153.4145987
Hiroshima, Japan: 34.3916058 132.4518156
Hamilton, Canada: 43.254687 -79.8678197
Boise, ID: 43.615046 -116.2044428
Utrecht, Netherlands: 52.08095165 5.1276803155
Kuala Lumpur, Malaysia: 3.1387103 101.682099528
Iowa City, IA: 41.6612561 -91.5299106
Houston, TX: 29.7589382 -95.3676974
Springfield, IL: 39.7989763 -89.6443688
Winnipeg, Canada: 49.8833343 -97.1666741
Pine Bluff, AR: 34.2284312 -92.0031955
Newark, NJ: 40.735657 -74.1723667
Shreveport, LA: 32.4828485 -93.8284831616
Middletown, NY: 41.4459271 -74.4229341
Cardiff, Wales: 51.4835299 -3.1836873
Paris, France: 48.8565056 2.3521334
Oklahoma City, OK: 35.4729886 -97.5170536
Montpellier, France: 43.6112422 3.8767337
Prague, Czech Republic: 50.0874401 14.4212556
Milan, Italy: 45.4667971 9.1904984
Arras, France: 50.2912099 2.7771364
Basel, Switzerland: 47.5581077 7.5878261
Bielefeld, Germany: 52.010877 8.540868
Stockholm, Sweden: 59.3251172 18.0710935
Gelsenkirchen, Germany: 51.5109791 7.0959263
Bristol, CT: 41.6735889 -72.9463831
Corpus Christi, TX: 27.8002542 -97.3955744
Billings, MT: 45.7874957 -108.49607
San Juan, Puerto Rico: 18.38423905 -66.0534398736
London, England: 51.5073219 -0.1276474
Manchester, TN: 35.4817432 -86.0885993
Minden, Germany: 52.2881045 8.9168852
Mainz, Germany: 49.9999952 8.2710237
Tokyo, Japan: 34.2255804 139.294774527
Reno, NV: 39.52927 -119.8136744
Troy, NY: 42.7284117 -73.6917851
Portales, NM: 34.1861922 -103.3343978
Roskilde, Denmark: 55.6433478 12.0819247
San Diego, CA: 32.7174209 -117.1627714
Sindelfingen, Germany: 48.7084215 9.0036877
Landgraaf, Netherlands: 50.9024566 6.02931039377
Zurich, Switzerland: 47.3685586 8.5404434
Vilnius, Lithuania: 54.6843135 25.2853984
Allentown, PA: 40.6022059 -75.4712794
Detroit, MI: 42.3486635 -83.0567375
Honolulu, HI: 21.304547 -157.8556764
Cape Town, South Africa: -33.9289049 18.4172485
Columbia, SC: 34.0007493 -81.0343313
Dortmund, Germany: 51.5142273 7.4652789
Kalamazoo, MI: 42.291707 -85.5872286
Toledo, OH: 41.6786754 -83.5127283
Dallas, TX: 32.7762719 -96.7968559
Verdun, Canada: 45.4603893 -73.5651925
Pittsburgh, PA: 40.4416941 -79.9900861
Pforzheim, West Germany: 48.8908846 8.7029532
Mountain View, CA: 37.3855745 -122.08205
Landover, MD: 38.9340002 -76.8966397
Wichita, KS: 37.6922361 -97.3375448
Worcester, MA: 42.2625932 -71.8022934
Ft. Lauderdale, FL: 26.1223084 -80.1433786
Davenport, IA: 41.5236436 -90.5776368
Madrid, Spain: 40.4167047 -3.7035825
Sheffield, England: 53.3806626 -1.4702278
Baton Rouge, LA: 30.4507462 -91.154551
Ft. Myers, FL: 26.640628 -81.8723084
Phoenix, AZ: 33.4467681 -112.0756724
Asuncion, Paraguay: -25.2960638 -57.6311446
Munich, West Germany: 48.1372897 11.5754716
Cardiff, England: 51.989736 -2.1354156
Buffalo, NY: 42.8864468 -78.8783689
Graz, Austria: 47.0708101 15.4382918
Daytona Beach, FL: 29.2108147 -81.0228331
Nottingham, England: 52.9549771 -1.1511066
Mount Vernon, NY: 40.9125992 -73.8370786
Tucson, AZ: 32.2217422 -110.9264759
Lisbon, Portugal: 38.7130574 -9.1380056
Zwaagwesteinde, Netherlands: 53.25643 6.03895
Berlin, Germany: 52.5170365 13.3888599
Indio, CA: 33.7192808 -116.2188054
Casper, WY: 42.866632 -106.313081
Moline, IL: 41.5067003 -90.5151342
Marseille, France: 43.2961743 5.3699525
North Swanzey, NH: 42.9111924 -72.2703629
London, Canada: 42.988097 -81.2460295
Lieto, Finland: 60.5022019 22.4554559
Minneapolis, MN: 44.9772995 -93.2654692
Den Bosch, Netherlands: 51.7099516 5.29191881792
Erfurt, Germany: 50.9777974 11.0287364
Roanoke, VA: 37.270973 -79.9414313
Texarkana, TX: 33.425125 -94.0476882
Binghamton, NY: 42.096968 -75.914341
Salt Lake City, UT: 40.7670126 -111.8904308
Newcastle, Australia: -32.9272881 151.7812534
Manchester, NH: 42.9956397 -71.4547891
Newcastle, England: 54.9770924 -1.6142059
Anchorage, AK: 61.218056 -149.9002806
Nijmegen, Netherlands: 51.84260195 5.83851961199
Glasgow, Scotland: 55.861147 -4.2499891
Nashville, TN: 36.1622296 -86.774353
Chicoutimi, Canada: 48.4054903 -71.0678424
Saskatoon, Canada: 52.1303794 -106.6605124
New Orleans, LA: 29.9499323 -90.0701156
